,additionDate,biotoolsCURIE,biotoolsID,collectionID,confidence_flag,description,documentation,function,homepage,lastUpdate,name,owner,publication,toolType,topic,editPermission.type,credit,language,license,accessibility,cost,link,editPermission.authors,operatingSystem,download,version,elixirNode,elixirPlatform,maturity,validated,otherID,relation,elixirCommunity
0,2021-06-14T13:33:48Z,biotools:covid-19-preview,covid-19-preview,['COVID-19'],tool,COVID-19 preVIEW is a tool for semantic search to explore COVID-19 research preprints.,"[{'type': ['General'], 'url': 'https://preview.zbmed.de/tutorial'}]","[{'operation': [{'term': 'Data retrieval', 'uri': 'http://edamontology.org/operation_2422'}, {'term': 'Database search', 'uri': 'http://edamontology.org/operation_2421'}, {'term': 'Text annotation', 'uri': 'http://edamontology.org/operation_3778'}]}]",https://preview.zbmed.de,2021-08-23T17:53:05Z,COVID-19 preVIEW,Kigaard,"[{'doi': '10.3233/SHTI210124', 'metadata': {'abstract': 'During the current COVID-19 pandemic, the rapid availability of profound information is crucial in order to derive information about diagnosis, disease trajectory, treatment or to adapt the rules of conduct in public. The increased importance of preprints for COVID-19 research initiated the design of the preprint search engine preVIEW. Conceptually, it is a lightweight semantic search engine focusing on easy inclusion of specialized COVID-19 textual collections and provides a user friendly web interface for semantic information retrieval. In order to support semantic search functionality, we integrated a text mining workflow for indexing with relevant terminologies. Currently, diseases, human genes and SARS-CoV-2 proteins are annotated, and more will be added in future. The system integrates collections from several different preprint servers that are used in the biomedical domain to publish non-peer-reviewed work, thereby enabling one central access point for the users. In addition, our service offers facet searching, export functionality and an API access. COVID-19 preVIEW is publicly available at https://preview.zbmed.de.', 'authors': [{'name': 'Langnickel L.'}, {'name': 'Baum R.'}, {'name': 'Darms J.'}, {'name': 'Madan S.'}, {'name': 'Fluck J.'}], 'date': '2021-05-27T00:00:00Z', 'journal': 'Studies in health technology and informatics', 'title': 'COVID-19 preVIEW: Semantic Search to Explore COVID-19 Research Preprints'}, 'pmid': '34042709', 'type': ['Primary']}]",['Database portal'],"[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}]",private,,,,,,,,,,,,,,,,,
1,2021-01-18T10:56:26Z,biotools:covid-19-antibody-therapeutics-tracker,covid-19-antibody-therapeutics-tracker,['COVID-19'],tool,COVID-19 antibody therapeutics tracker is a global online database of antibody therapeutics for the prevention and treatment of COVID-19.,,"[{'operation': [{'term': 'Peptide immunogenicity prediction', 'uri': 'http://edamontology.org/operation_0252'}, {'term': 'Phasing', 'uri': 'http://edamontology.org/operation_3454'}, {'term': 'Epitope mapping', 'uri': 'http://edamontology.org/operation_0416'}]}]",https://chineseantibody.org/covid-19-track/,2021-02-17T19:48:45Z,COVID-19 Antibody Therapeutics Tracker,Kigaard,"[{'doi': '10.1093/ABT/TBAA020', 'metadata': {'abstract': '© 2020 Oxford University Press. All rights reserved.Facing the COVID-19 global healthcare crisis, scientists worldwide are collaborating to develop prophylactic and therapeutic interventions against the disease. Antibody therapeutics hold enormous promise for the treatment of COVID-19. In March 2020, the Chinese Antibody Society, in collaboration with The Antibody Society, initiated the “COVID-19 Antibody Therapeutics Tracker” (“Tracker”) (https://chineseantibody.org/covid-19-track/) program to track the antibody-based COVID-19 interventions in preclinical and clinical development globally. The data are collected from the public domain and verified by volunteers on an ongoing basis. Here, we present exploratory data analyses and visualization to demonstrate the latest trends of COVID-19 antibody development, based on data for over 150 research and development programs and molecules included in the “Tracker” as of 8 August 2020. We categorized the data mainly by their targets, formats, development status, developers and country of origin. Although details are limited in some cases, all of the anti-SARS-CoV-2 antibody candidates appear to target the viral spike protein (S protein), and most are full-length monoclonal antibodies. Most of the current COVID-19 antibody therapeutic candidates in clinical trials are repurposed drugs aimed at targets other than virus-specific proteins, while most of these virus-specific therapeutic antibodies are in discovery or preclinical studies. As of 8 August 2020, eight antibody candidates targeting the SARS-CoV-2 S protein have entered clinical studies, including LY-CoV555, REGN-COV2, JS016, TY027, CT-P59, BRII-196, BRII-198 and SCTA01. Ongoing clinical trials of SARS-CoV-2 neutralizing antibodies will help define the utility of these antibodies as a new class of therapeutics for treating COVID-19 and future coronavirus infections.', 'authors': [{'name': 'Yang L.'}, {'name': 'Liu W.'}, {'name': 'Yu X.'}, {'name': 'Wu M.'}, {'name': 'Reichert J.M.'}, {'name': 'Ho M.'}], 'citationCount': 31, 'date': '2020-01-01T00:00:00Z', 'journal': 'Antibody Therapeutics', 'title': 'COVID-19 antibody therapeutics tracker: A global online database of antibody therapeutics for the prevention and treatment of COVID-19'}, 'pmcid': 'PMC7454247'}]",['Database portal'],"[{'term': 'Immunoproteins and antigens', 'uri': 'http://edamontology.org/topic_2830'}, {'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}, {'term': 'Immunogenetics', 'uri': 'http://edamontology.org/topic_3930'}, {'term': 'Allergy, clinical immunology and immunotherapeutics', 'uri': 'http://edamontology.org/topic_3400'}, {'term': 'Biotherapeutics', 'uri': 'http://edamontology.org/topic_3374'}]",private,"[{'email': 'janice.reichert@antibodysociety.org', 'name': 'Janice M Reichert', 'typeEntity': 'Person'}, {'email': 'homi@mail.nih.gov', 'name': 'Mitchell Ho', 'orcidid': 'https://orcid.org/0000-0002-9152-5405', 'typeEntity': 'Person'}]",,,,,,,,,,,,,,,,
2,2021-01-18T08:42:28Z,biotools:covid-19-knowledge-graph,covid-19-knowledge-graph,['COVID-19'],tool,"COVID-19 Knowledge Graph is a computable, multi-modal, cause-and-effect knowledge model of COVID-19 pathophysiology.",,,https://github.com/covid19kg,2021-02-17T20:11:38Z,COVID-19 Knowledge Graph,Kigaard,"[{'doi': '10.1101/2020.04.14.040667'}, {'doi': '10.1093/bioinformatics/btaa834', 'metadata': {'abstract': '© 2020 The Author(s) 2020. Published by Oxford University Press.The COVID-19 crisis has elicited a global response by the scientific community that has led to a burst of publications on the pathophysiology of the virus. However, without coordinated efforts to organize this knowledge, it can remain hidden away from individual research groups. By extracting and formalizing this knowledge in a structured and computable form, as in the form of a knowledge graph, researchers can readily reason and analyze this information on a much larger scale. Here, we present the COVID-19 Knowledge Graph, an expansive cause-and-effect network constructed from scientific literature on the new coronavirus that aims to provide a comprehensive view of its pathophysiology. To make this resource available to the research community and facilitate its exploration and analysis, we also implemented a web application and released the KG in multiple standard formats.', 'authors': [{'name': 'Domingo-Fernandez D.'}, {'name': 'Baksi S.'}, {'name': 'Schultz B.'}, {'name': 'Gadiya Y.'}, {'name': 'Karki R.'}, {'name': 'Raschka T.'}, {'name': 'Ebeling C.'}, {'name': 'Hofmann-Apitius M.'}, {'name': 'Kodamullil A.T.'}], 'citationCount': 7, 'date': '2021-05-01T00:00:00Z', 'journal': 'Bioinformatics', 'title': 'COVID-19 Knowledge Graph: A computable, multi-modal, cause-and-effect knowledge model of COVID-19 pathophysiology'}, 'type': ['Primary']}]",['Library'],"[{'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}]",private,"[{'email': 'alpha.tom.kodamullil@scai.fraunhofer.de', 'name': 'Alpha Tom Kodamullil', 'orcidid': 'https://orcid.org/0000-0001-9896-3531', 'typeEntity': 'Person'}]",['Python'],CC0-1.0,,,,,,,,,,,,,,
3,2021-06-14T13:19:57Z,biotools:covid-19-ct-cxr,covid-19-ct-cxr,['COVID-19'],tool,"COVID-19-CT-CXR is a public database of COVID-19 CXR and CT images, which are automatically extracted from COVID-19-relevant articles from the PubMed Central Open Access (PMC-OA) Subset.",,"[{'operation': [{'term': 'Data retrieval', 'uri': 'http://edamontology.org/operation_2422'}, {'term': 'Image analysis', 'uri': 'http://edamontology.org/operation_3443'}, {'term': 'Splitting', 'uri': 'http://edamontology.org/operation_3359'}, {'term': 'Visualisation', 'uri': 'http://edamontology.org/operation_0337'}]}]",https://github.com/ncbi-nlp/COVID-19-CT-CXR,2021-08-23T17:54:42Z,COVID-19-CT-CXR,Kigaard,"[{'doi': '10.1109/TBDATA.2020.3035935', 'metadata': {'abstract': '© 2015 IEEE.The latest threat to global health is the COVID-19 outbreak. Although there exist large datasets of chest X-rays (CXR) and computed tomography (CT) scans, few COVID-19 image collections are currently available due to patient privacy. At the same time, there is a rapid growth of COVID-19-relevant articles in the biomedical literature, including those that report findings on radiographs. Here, we present COVID-19-CT-CXR, a public database of COVID-19 CXR and CT images, which are automatically extracted from COVID-19-relevant articles from the PubMed Central Open Access (PMC-OA) Subset. We extracted figures, associated captions, and relevant figure descriptions in the article and separated compound figures into subfigures. Because a large portion of figures in COVID-19 articles are not CXR or CT, we designed a deep-learning model to distinguish them from other figure types and to classify them accordingly. The final database includes 1,327 CT and 263 CXR images (as of May 9, 2020) with their relevant text. To demonstrate the utility of COVID-19-CT-CXR, we conducted four case studies. (1) We show that COVID-19-CT-CXR, when used as additional training data, is able to contribute to improved deep-learning (DL) performance for the classification of COVID-19 and non-COVID-19 CT. (2) We collected CT images of influenza, another common infectious respiratory illness that may present similarly to COVID-19, and fine-tuned a baseline deep neural network to distinguish a diagnosis of COVID-19, influenza, or normal or other types of diseases on CT. (3) We fine-tuned an unsupervised one-class classifier from non-COVID-19 CXR and performed anomaly detection to detect COVID-19 CXR. (4) From text-mined captions and figure descriptions, we compared 15 clinical symptoms and 20 clinical findings of COVID-19 versus those of influenza to demonstrate the disease differences in the scientific publications. Our database is unique, as the figures are retrieved along with relevant text with fine-grained descriptions, and it can be extended easily in the future. We believe that our work is complementary to existing resources and hope that it will contribute to medical image analysis of the COVID-19 pandemic. The dataset, code, and DL models are publicly available at https://github.com/ncbi-nlp/COVID-19-CT-CXR.', 'authors': [{'name': 'Peng Y.'}, {'name': 'Tang Y.'}, {'name': 'Lee S.'}, {'name': 'Zhu Y.'}, {'name': 'Summers R.M.'}, {'name': 'Lu Z.'}], 'citationCount': 1, 'date': '2021-03-01T00:00:00Z', 'journal': 'IEEE Transactions on Big Data', 'title': 'COVID-19-CT-CXR: A freely accessible and weakly labeled chest X-Ray and CT image collection on COVID-19 from biomedical literature'}, 'pmcid': 'PMC8117951', 'pmid': '33997112', 'type': ['Primary']}]",['Database portal'],"[{'term': 'Tomography', 'uri': 'http://edamontology.org/topic_3452'}, {'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}]",group,"[{'email': 'zhiyong.lu@nih.gov', 'name': 'Zhiyong Lu', 'typeEntity': 'Person', 'typeRole': ['Primary contact']}]",['Python'],Freeware,Open access,Free of charge,"[{'type': ['Issue tracker'], 'url': 'https://github.com/ncbi-nlp/COVID-19-CT-CXR/issues'}]",['Kigaard'],,,,,,,,,,
4,2021-06-14T13:32:00Z,biotools:covid-19-data-portal,covid-19-data-portal,['COVID-19'],tool,COVID-19 Data Portal is a tool for accelerating SARS-CoV-2 and COVID-19 research through rapid open access data sharing.,,"[{'operation': [{'term': 'Database search', 'uri': 'http://edamontology.org/operation_2421'}, {'term': 'Visualisation', 'uri': 'http://edamontology.org/operation_0337'}]}]",https://www.covid19dataportal.org/,2021-08-23T17:53:52Z,COVID-19 Data Portal,Kigaard,"[{'doi': '10.1093/NAR/GKAB417', 'metadata': {'abstract': '© 2021 The Author(s). Published by Oxford University Press on behalf of Nucleic Acids Research.The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic will be remembered as one of the defining events of the 21st century. The rapid global outbreak has had significant impacts on human society and is already responsible for millions of deaths. Understanding and tackling the impact of the virus has required a worldwide mobilisation and coordination of scientific research. The COVID-19 Data Portal (https://www.covid19dataportal.org/) was first released as part of the European COVID-19 Data Platform, on April 20th 2020 to facilitate rapid and open data sharing and analysis, to accelerate global SARS-CoV-2 and COVID-19 research. The COVID-19 Data Portal has fortnightly feature releases to continue to add new data types, search options, visualisations and improvements based on user feedback and research. The open datasets and intuitive suite of search, identification and download services, represent a truly FAIR (Findable, Accessible, Interoperable and Reusable) resource that enables researchers to easily identify and quickly obtain the key datasets needed for their COVID-19 research.', 'authors': [{'name': 'Harrison P.W.'}, {'name': 'Lopez R.'}, {'name': 'Rahman N.'}, {'name': 'Allen S.G.'}, {'name': 'Aslam R.'}, {'name': 'Buso N.'}, {'name': 'Cummins C.'}, {'name': 'Fathy Y.'}, {'name': 'Felix E.'}, {'name': 'Glont M.'}, {'name': 'Jayathilaka S.'}, {'name': 'Kadam S.'}, {'name': 'Kumar M.'}, {'name': 'Lauer K.B.'}, {'name': 'Malhotra G.'}, {'name': 'Mosaku A.'}, {'name': 'Edbali O.'}, {'name': 'Park Y.M.'}, {'name': 'Parton A.'}, {'name': 'Pearce M.'}, {'name': 'Estrada Pena J.F.'}, {'name': 'Rossetto J.'}, {'name': 'Russell C.'}, {'name': 'Selvakumar S.'}, {'name': 'Sitja X.P.'}, {'name': 'Sokolov A.'}, {'name': 'Thorne R.'}, {'name': 'Ventouratou M.'}, {'name': 'Walter P.'}, {'name': 'Yordanova G.'}, {'name': 'Zadissa A.'}, {'name': 'Cochrane G.'}, {'name': 'Blomberg N.'}, {'name': 'Apweiler R.'}], 'citationCount': 1, 'date': '2021-07-02T00:00:00Z', 'journal': 'Nucleic Acids Research', 'title': 'The COVID-19 Data Portal: Accelerating SARS-CoV-2 and COVID-19 research through rapid open access data sharing'}, 'pmid': '34048576'}]",['Database portal'],"[{'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}]",private,"[{'email': 'rls@ebi.ac.uk', 'name': 'Rodrigo Lopez', 'orcidid': 'https://orcid.org/0000-0003-1256-7306', 'typeEntity': 'Person', 'typeRole': ['Primary contact']}, {'email': 'cochrane@ebi.ac.uk', 'name': 'Guy Cochrane', 'orcidid': 'https://orcid.org/0000-0001-7954-7057', 'typeEntity': 'Person', 'typeRole': ['Primary contact']}]",,,,,,,,,,,,,,,,
5,2021-01-18T09:36:33Z,biotools:covid-19-testnorm,covid-19-testnorm,['COVID-19'],tool,"COVID-19 TestNorm is a tool to normalize COVID-19 testing names to LOINC codes.

Large observational data networks that leverage routine clinical practice data in electronic health records (EHRs) are critical resources for research on coronavirus disease 2019 (COVID-19). Data normalization is a key challenge for the secondary use of EHRs for COVID-19 research across institutions. In this study, we addressed the challenge of automating the normalization of COVID-19 diagnostic tests, which are critical data elements, but for which controlled terminology terms were published after clinical implementation. We developed a simple but effective rule-based tool called COVID-19 TestNorm to automatically normalize local COVID-19 testing names to standard LOINC (Logical Observation Identifiers Names and Codes) codes. COVID-19 TestNorm was developed and evaluated using 568 test names collected from 8 healthcare systems",,"[{'operation': [{'term': 'Standardisation and normalisation', 'uri': 'http://edamontology.org/operation_3435'}, {'term': 'Data retrieval', 'uri': 'http://edamontology.org/operation_2422'}, {'term': 'Quantification', 'uri': 'http://edamontology.org/operation_3799'}]}]",https://clamp.uth.edu/covid/loinc.php,2021-02-17T20:20:00Z,COVID-19 TestNorm,Kigaard,"[{'doi': '10.1093/JAMIA/OCAA145', 'metadata': {'abstract': '© The Author(s) 2020.Large observational data networks that leverage routine clinical practice data in electronic health records (EHRs) are critical resources for research on coronavirus disease 2019 (COVID-19). Data normalization is a key challenge for the secondary use of EHRs for COVID-19 research across institutions. In this study, we addressed the challenge of automating the normalization of COVID-19 diagnostic tests, which are critical data elements, but for which controlled terminology terms were published after clinical implementation. We developed a simple but effective rule-based tool called COVID-19 TestNorm to automatically normalize local COVID-19 testing names to standard LOINC (Logical Observation Identifiers Names and Codes) codes. COVID-19 TestNorm was developed and evaluated using 568 test names collected from 8 healthcare systems. Our results show that it could achieve an accuracy of 97.4% on an independent test set. COVID-19 TestNorm is available as an open-source package for developers and as an online Web application for end users (https://clamp.uth.edu/covid/loinc.php). We believe that it will be a useful tool to support secondary use of EHRs for research on COVID-19.', 'authors': [{'name': 'Dong X.'}, {'name': 'Li J.'}, {'name': 'Soysal E.'}, {'name': 'Bian J.'}, {'name': 'DuVall S.L.'}, {'name': 'Hanchrow E.'}, {'name': 'Liu H.'}, {'name': 'Lynch K.E.'}, {'name': 'Matheny M.'}, {'name': 'Natarajan K.'}, {'name': 'Ohno-Machado L.'}, {'name': 'Pakhomov S.'}, {'name': 'Reeves R.M.'}, {'name': 'Sitapati A.M.'}, {'name': 'Abhyankar S.'}, {'name': 'Cullen T.'}, {'name': 'Deckard J.'}, {'name': 'Jiang X.'}, {'name': 'Murphy R.'}, {'name': 'Xu H.'}], 'citationCount': 5, 'date': '2020-09-01T00:00:00Z', 'journal': 'Journal of the American Medical Informatics Association', 'title': 'COVID-19 testnorm: A tool to normalize COVID-19 testing names to LOINC codes'}, 'pmcid': 'PMC7337837', 'pmid': '32569358'}]",['Web application'],"[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Laboratory techniques', 'uri': 'http://edamontology.org/topic_3361'}]",private,"[{'email': 'hua.xu@uth.tmc.edu', 'name': 'Hua Xu', 'orcidid': 'https://orcid.org/0000-0002-5274-4672', 'typeEntity': 'Person'}]",,,,,,,,,,,,,,,,
6,2021-06-14T12:40:54Z,biotools:covid-19-signsym,covid-19-signsym,['COVID-19'],tool,COVID-19 SignSyma is a tool foor fast adaptation of a general clinical NLP tool to identify and normalize COVID-19 signs and symptoms to OMOP common data model.,,"[{'operation': [{'term': 'Text mining', 'uri': 'http://edamontology.org/operation_0306'}, {'term': 'Standardisation and normalisation', 'uri': 'http://edamontology.org/operation_3435'}]}]",https://clamp.uth.edu/covid/nlp.php,2021-08-23T17:52:27Z,COVID-19 SignSym,Kigaard,"[{'doi': '10.1093/JAMIA/OCAB015', 'metadata': {'abstract': '© 2021 The Author(s). Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.The COVID-19 pandemic swept across the world rapidly, infecting millions of people. An efficient tool that can accurately recognize important clinical concepts of COVID-19 from free text in electronic health records (EHRs) will be valuable to accelerate COVID-19 clinical research. To this end, this study aims at adapting the existing CLAMP natural language processing tool to quickly build COVID-19 SignSym, which can extract COVID-19 signs/symptoms and their 8 attributes (body location, severity, temporal expression, subject, condition, uncertainty, negation, and course) from clinical text. The extracted information is also mapped to standard concepts in the Observational Medical Outcomes Partnership common data model. A hybrid approach of combining deep learning-based models, curated lexicons, and pattern-based rules was applied to quickly build the COVID-19 SignSym from CLAMP, with optimized performance. Our extensive evaluation using 3 external sites with clinical notes of COVID-19 patients, as well as the online medical dialogues of COVID-19, shows COVID-19 SignSym can achieve high performance across data sources. The workflow used for this study can be generalized to other use cases, where existing clinical natural language processing tools need to be customized for specific information needs within a short time. COVID-19 SignSym is freely accessible to the research community as a downloadable package (https://clamp.uth.edu/covid/nlp.php) and has been used by 16 healthcare organizations to support clinical research of COVID-19.', 'authors': [{'name': 'Wang J.'}, {'name': 'Abu-El-Rub N.'}, {'name': 'Gray J.'}, {'name': 'Pham H.A.'}, {'name': 'Zhou Y.'}, {'name': 'Manion F.J.'}, {'name': 'Liu M.'}, {'name': 'Song X.'}, {'name': 'Xu H.'}, {'name': 'Rouhizadeh M.'}, {'name': 'Zhang Y.'}], 'citationCount': 1, 'date': '2021-06-01T00:00:00Z', 'journal': 'Journal of the American Medical Informatics Association', 'title': 'COVID-19 SignSym: A fast adaptation of a general clinical NLP tool to identify and normalize COVID-19 signs and symptoms to OMOP common data model'}, 'pmcid': 'PMC7989301', 'pmid': '33674830', 'type': ['Primary']}]",['Web application'],"[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}]",group,"[{'name': 'Masoud Rouhizadeh', 'typeEntity': 'Person', 'typeRole': ['Primary contact']}, {'name': 'Yaoyun Zhang', 'orcidid': 'https://orcid.org/0000-0001-9220-3101', 'typeEntity': 'Person', 'typeRole': ['Primary contact']}]",,,,,,['Kigaard'],,,,,,,,,,
7,2020-03-27T11:48:19Z,biotools:covid-19_dashboard,covid-19_dashboard,['COVID-19'],,"Dashboard showing recent developments of the COVID-19 virus pandemic. The latest open data on the COVID-19 spread are regularly downloaded and displayed in a map, summary tables, key figures and plots.",,"[{'operation': [{'term': 'Visualisation', 'uri': 'http://edamontology.org/operation_0337'}]}]",https://chschoenenberger.shinyapps.io/covid19_dashboard/,2020-06-16T10:55:28Z,COVID-19 Dashboard,hans,,['Web application'],"[{'term': 'Data visualisation', 'uri': 'http://edamontology.org/topic_0092'}, {'term': 'Infectious disease', 'uri': 'http://edamontology.org/topic_3324'}, {'term': 'Virology', 'uri': 'http://edamontology.org/topic_0781'}]",private,"[{'name': 'Christoph Schönenberger', 'typeEntity': 'Person', 'typeRole': ['Primary contact', 'Developer', 'Maintainer', 'Support']}]",,MIT,Open access,,"[{'type': ['Repository'], 'url': 'https://github.com/chschoenenberger/covid19_dashboard'}]",,,,,,,,,,,
8,2021-01-18T12:24:03Z,biotools:covid-19-ontology,covid-19-ontology,['COVID-19'],tool,"The COVID-19 ontology covers the role of molecular and cellular entities in virus-host-interactions, in the virus life cycle, as well as a wide spectrum of medical and epidemiological concepts linked to COVID-19.",,"[{'operation': [{'term': 'Deposition', 'uri': 'http://edamontology.org/operation_3431'}, {'term': 'Named-entity and concept recognition', 'uri': 'http://edamontology.org/operation_3280'}, {'term': 'Relation extraction', 'uri': 'http://edamontology.org/operation_3625'}, {'term': 'Virtual screening', 'uri': 'http://edamontology.org/operation_3938'}]}]",https://bioportal.bioontology.org/ontologies/COVID-19,2021-02-17T20:13:49Z,COVID-19 Ontology,Kigaard,"[{'doi': '10.1093/BIOINFORMATICS/BTAA1057', 'metadata': {'abstract': '© The Author(s) 2020. Published by Oxford University Press.Motivation: The COVID-19 pandemic has prompted an impressive, worldwide response by the academic community. In order to support text mining approaches as well as data description, linking and harmonization in the context of COVID-19, we have developed an ontology representing major novel coronavirus (SARS-CoV-2) entities. The ontology has a strong scope on chemical entities suited for drug repurposing, as this is a major target of ongoing COVID-19 therapeutic development. Results: The ontology comprises 2270 classes of concepts and 38 987 axioms (2622 logical axioms and 2434 declaration axioms). It depicts the roles of molecular and cellular entities in virus-host interactions and in the virus life cycle, as well as a wide spectrum of medical and epidemiological concepts linked to COVID-19. The performance of the ontology has been tested on Medline and the COVID-19 corpus provided by the Allen Institute. Availabilityand implementation: COVID-19 Ontology is released under a Creative Commons 4.0 License and shared via https://github.com/covid-19-ontology/covid-19. The ontology is also deposited in BioPortal at https://bioportal.bioontology.org/ontologies/COVID-19.', 'authors': [{'name': 'Sargsyan A.'}, {'name': 'Kodamullil A.T.'}, {'name': 'Baksi S.'}, {'name': 'Darms J.'}, {'name': 'Madan S.'}, {'name': 'Gebel S.'}, {'name': 'Keminer O.'}, {'name': 'Jose G.M.'}, {'name': 'Balabin H.'}, {'name': 'DeLong L.N.'}, {'name': 'Kohler M.'}, {'name': 'Jacobs M.'}, {'name': 'Hofmann-Apitius M.'}], 'date': '2020-12-15T00:00:00Z', 'journal': 'Bioinformatics', 'title': 'The COVID-19 ontology'}, 'pmid': '33346828'}]",['Ontology'],"[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Virology', 'uri': 'http://edamontology.org/topic_0781'}, {'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}]",private,"[{'email': 'alpha.tom.kodamullil@scai.fraunhofer.de', 'name': 'Martin Hofmann-Apitius', 'typeEntity': 'Person'}]",,CC0-1.0,,,"[{'type': ['Repository'], 'url': 'https://github.com/covid-19-ontology/covid-19'}, {'type': ['Other'], 'url': 'https://covid.scaiview.com/'}]",,,,,,,,,,,
9,2021-01-18T11:00:49Z,biotools:covid-19-biomarkers-oncomx,covid-19-biomarkers-oncomx,['COVID-19'],tool,OncoMX has been expanded to include COVID-19 biomarkers.,,"[{'operation': [{'term': 'Data retrieval', 'uri': 'http://edamontology.org/operation_2422'}, {'term': 'Standardisation and normalisation', 'uri': 'http://edamontology.org/operation_3435'}, {'term': 'Aggregation', 'uri': 'http://edamontology.org/operation_3436'}]}]",https://data.oncomx.org/covid19,2021-02-17T20:00:44Z,COVID-19 biomarkers,Kigaard,[{'doi': '10.1101/2020.09.09.196220'}],['Web application'],"[{'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}]",private,"[{'email': 'mazumder@gwu.edu', 'name': 'R Mazumder', 'typeEntity': 'Person'}]",,,,,,,,,,,,,,,,
